Position = 0403, Accumulator = 0.000000e+00, Counter = 0
Position = 0404, Accumulator = 0.000000e+00, Counter = 0
Position = 0405, Accumulator = 0.000000e+00, Counter = 0
Position = 0406, Accumulator = 0.000000e+00, Counter = 0
Position = 0407, Accumulator = 0.000000e+00, Counter = 1
Position = 0408, Accumulator = 0.000000e+00, Counter = 2
Position = 0409, Accumulator = 0.000000e+00, Counter = 0
Position = 0410, Accumulator = 0.000000e+00, Counter = 0
Position = 0411, Accumulator = 0.000000e+00, Counter = 0
Position = 0412, Accumulator = 0.000000e+00, Counter = 0
Position = 0413, Accumulator = 0.000000e+00, Counter = 1
Position = 0414, Accumulator = 0.000000e+00, Counter = 0
Position = 0415, Accumulator = 0.000000e+00, Counter = 0
Position = 0416, Accumulator = 0.000000e+00, Counter = 2
Position = 0417, Accumulator = 0.000000e+00, Counter = 2
Position = 0418, Accumulator = 0.000000e+00, Counter = 0
Position = 0419, Accumulator = 0.000000e+00, Counter = 1
Position = 0420, Accumulator = 0.000000e+00, Counter = 0
Position = 0421, Accumulator = 0.000000e+00, Counter = 2
Position = 0422, Accumulator = 0.000000e+00, Counter = 0
Position = 0423, Accumulator = 0.000000e+00, Counter = 2
Position = 0424, Accumulator = 0.000000e+00, Counter = 0
Position = 0425, Accumulator = 0.000000e+00, Counter = 0
Position = 0426, Accumulator = 0.000000e+00, Counter = 0
Position = 0427, Accumulator = 0.000000e+00, Counter = 1
Position = 0428, Accumulator = 0.000000e+00, Counter = 0
Position = 0429, Accumulator = 0.000000e+00, Counter = 0
Position = 0430, Accumulator = 0.000000e+00, Counter = 2
Position = 0431, Accumulator = 0.000000e+00, Counter = 0
Position = 0432, Accumulator = 0.000000e+00, Counter = 0
Position = 0433, Accumulator = 0.000000e+00, Counter = 1
Position = 0434, Accumulator = 0.000000e+00, Counter = 0
Position = 0435, Accumulator = 0.000000e+00, Counter = 0
Position = 0436, Accumulator = 0.000000e+00, Counter = 0
Position = 0437, Accumulator = 0.000000e+00, Counter = 0
